1	12197000	12198000
1	53763000	53764000
1	23483000	23484000
1	38361000	38362000
1	243947000	243948000
1	236748000	236749000
1	5888000	5889000
1	189429000	189430000
1	110992000	110993000
1	75124000	75125000
1	153404000	153405000
1	3899000	3900000
1	54425000	54426000
1	156660000	156661000
1	1376000	1377000
1	247077000	247078000
1	31937000	31938000
1	120812000	120813000
1	182786000	182787000
1	47675000	47676000
1	206935000	206936000
1	226408000	226409000
1	12272000	12273000
1	36300000	36301000
1	213660000	213661000
1	236795000	236796000
1	37954000	37955000
1	204207000	204208000
1	15323000	15324000
1	26234000	26235000
1	196661000	196662000
1	55483000	55484000
1	46835000	46836000
1	186986000	186987000
1	228664000	228665000
1	100868000	100869000
1	91022000	91023000
1	152451000	152452000
1	201259000	201260000
1	3491000	3492000
1	156860000	156861000
1	151071000	151072000
1	168104000	168105000
1	205343000	205344000
1	150829000	150830000
1	235094000	235095000
1	93179000	93180000
1	11664000	11665000
1	11594000	11595000
1	156728000	156729000
1	242129000	242130000
1	69737000	69738000
1	179069000	179070000
1	191824000	191825000
1	58816000	58817000
1	247576000	247577000
1	88595000	88596000
1	236759000	236760000
1	46342000	46343000
1	40669000	40670000
1	8703000	8704000
1	176881000	176882000
1	70143000	70144000
1	17420000	17421000
1	26169000	26170000
1	109718000	109719000
1	94463000	94464000
1	175373000	175374000
1	207713000	207714000
1	54488000	54489000
1	51793000	51794000
1	35160000	35161000
1	245079000	245080000
1	155228000	155229000
1	229255000	229256000
1	225924000	225925000
1	178774000	178775000
1	10751000	10752000
1	190373000	190374000
1	54792000	54793000
1	180522000	180523000
1	175125000	175126000
1	67532000	67533000
1	228166000	228167000
1	204162000	204163000
1	27575000	27576000
1	183670000	183671000
1	120356000	120357000
1	152974000	152975000
1	31181000	31182000
1	44213000	44214000
1	168342000	168343000
1	95234000	95235000
1	40449000	40450000
1	63557000	63558000
1	40167000	40168000
1	53473000	53474000
1	172778000	172779000
1	161158000	161159000
1	12031000	12032000
